run_ts,n_open,n_pending,n_recent_closed,ledger_total
2026-06-08T23:51:39.483709+00:00,0,0,46,46
2026-06-08T23:53:20.521284+00:00,0,0,46,46
2026-06-08T23:55:30.568613+00:00,0,0,46,46
2026-06-09T00:05:14.893074+00:00,0,0,45,46
2026-06-09T01:05:10.533297+00:00,0,0,45,46
2026-06-09T02:05:10.953981+00:00,0,0,45,46
2026-06-09T03:05:10.262440+00:00,0,0,45,46
2026-06-09T04:05:16.660951+00:00,0,0,45,46
2026-06-09T05:05:08.535677+00:00,0,0,45,46
2026-06-09T06:05:15.256371+00:00,0,0,45,46
2026-06-09T07:05:08.604245+00:00,0,0,45,46
2026-06-09T08:05:13.998629+00:00,0,0,44,46
2026-06-09T09:05:07.309366+00:00,0,0,44,46
2026-06-09T10:05:08.970966+00:00,0,0,44,46
2026-06-09T11:05:10.239646+00:00,0,0,44,46
2026-06-09T11:12:30.010324+00:00,0,0,44,46
2026-06-09T12:05:12.853121+00:00,0,0,44,46
2026-06-09T13:05:08.879467+00:00,0,0,44,46
2026-06-09T14:05:08.149107+00:00,0,0,44,46
2026-06-09T14:27:24.290057+00:00,0,0,44,46
2026-06-09T15:05:10.074913+00:00,0,0,44,46
2026-06-09T16:05:17.496834+00:00,0,0,44,46
2026-06-09T17:05:11.418088+00:00,0,0,44,46
2026-06-09T18:05:10.946939+00:00,0,0,44,46
2026-06-09T19:05:09.219949+00:00,0,0,44,46
2026-06-09T21:05:12.877721+00:00,0,0,44,46
2026-06-09T22:05:11.115511+00:00,0,0,44,46
2026-06-10T02:05:16.606700+00:00,0,0,44,46
2026-06-10T03:05:08.479265+00:00,0,0,44,46
2026-06-10T04:05:12.828280+00:00,0,0,44,46
2026-06-10T05:05:07.225660+00:00,0,0,44,46
2026-06-10T06:05:09.292535+00:00,0,0,44,46
2026-06-10T07:05:08.654890+00:00,0,0,44,46
2026-06-10T08:05:14.102742+00:00,0,0,44,46
2026-06-10T09:05:08.140177+00:00,0,0,44,46
2026-06-10T10:05:09.384135+00:00,0,0,44,46
2026-06-10T11:05:08.021353+00:00,0,0,44,46
2026-06-10T12:05:14.538093+00:00,0,0,44,46
2026-06-10T13:05:09.111715+00:00,0,0,44,46
2026-06-10T14:05:07.752001+00:00,0,0,44,46
2026-06-10T15:05:09.535068+00:00,0,0,44,46
2026-06-10T16:05:13.676285+00:00,0,0,44,46
2026-06-10T17:05:07.931467+00:00,0,0,44,46
2026-06-10T18:05:08.655749+00:00,0,0,44,46
2026-06-10T19:05:08.910518+00:00,0,0,44,46
2026-06-10T20:05:14.558818+00:00,0,1,44,46
2026-06-10T21:05:13.021478+00:00,0,1,44,46
2026-06-10T21:33:38.527182+00:00,0,1,44,46
2026-06-10T23:05:10.314127+00:00,0,1,44,46
2026-06-11T00:05:13.198684+00:00,1,1,44,46
2026-06-11T01:05:11.905049+00:00,1,1,44,46
2026-06-11T02:05:09.273454+00:00,1,1,44,46
2026-06-11T03:05:12.153754+00:00,1,1,44,46
2026-06-11T04:05:16.499000+00:00,1,0,43,46
2026-06-11T05:05:12.275925+00:00,1,0,43,46
2026-06-11T06:05:11.820672+00:00,1,0,43,46
2026-06-11T07:05:09.764688+00:00,1,0,43,46
2026-06-11T10:05:20.623252+00:00,1,2,42,46
2026-06-11T12:05:16.172188+00:00,3,0,42,46
2026-06-11T13:05:10.790229+00:00,3,0,42,46
2026-06-11T14:05:07.710754+00:00,3,0,42,46
2026-06-11T16:05:14.788642+00:00,3,0,42,46
2026-06-11T17:05:10.116264+00:00,3,0,42,46
2026-06-11T18:05:09.034836+00:00,3,0,42,46
2026-06-11T19:05:09.887587+00:00,3,0,42,46
2026-06-11T20:05:11.226678+00:00,3,0,42,46
2026-06-11T21:05:27.943594+00:00,3,0,42,46
2026-06-11T22:05:27.856368+00:00,3,0,42,46
2026-06-11T23:05:27.904432+00:00,3,0,42,46
2026-06-12T00:05:51.556087+00:00,3,0,42,46
2026-06-12T01:05:51.854335+00:00,3,0,42,46
2026-06-12T02:05:51.613759+00:00,3,0,42,46
2026-06-12T03:05:13.300301+00:00,3,0,42,46
2026-06-12T04:05:11.234411+00:00,3,0,42,46
2026-06-12T05:05:09.198483+00:00,3,0,42,46
2026-06-12T06:05:08.157508+00:00,3,0,42,46
2026-06-12T07:05:06.380362+00:00,3,0,42,46
2026-06-12T08:05:12.393960+00:00,3,0,42,46
2026-06-12T09:05:10.081489+00:00,3,0,42,46
2026-06-12T10:05:10.507453+00:00,3,0,42,46
2026-06-12T11:05:11.438773+00:00,3,0,42,46
2026-06-12T12:05:12.227591+00:00,3,0,42,46
2026-06-12T13:05:11.777692+00:00,3,0,42,46
2026-06-12T14:05:12.449548+00:00,3,0,42,46
2026-06-12T16:05:14.552120+00:00,3,0,42,46
2026-06-12T19:05:09.134087+00:00,3,0,42,46
2026-06-12T20:05:36.781475+00:00,3,0,42,46
2026-06-12T21:05:12.197161+00:00,3,0,42,46
2026-06-12T23:05:09.836120+00:00,3,0,42,46
2026-06-13T01:05:17.010577+00:00,3,0,41,46
2026-06-13T02:05:09.779901+00:00,3,0,41,46
2026-06-13T03:05:09.128466+00:00,3,0,41,46
2026-06-13T11:05:43.844460+00:00,3,0,41,46
2026-06-13T12:05:11.968895+00:00,3,0,41,46
2026-06-13T13:05:09.410373+00:00,3,0,41,46
2026-06-13T14:05:09.020714+00:00,3,0,41,46
2026-06-13T15:05:07.323747+00:00,3,0,41,46
2026-06-13T16:05:13.071580+00:00,3,1,41,46
2026-06-13T17:05:10.040355+00:00,3,1,41,46
2026-06-13T18:05:08.252052+00:00,3,1,41,46
2026-06-13T19:05:09.173049+00:00,3,1,41,46
2026-06-13T20:05:12.216271+00:00,3,0,40,46
2026-06-13T21:05:08.225869+00:00,3,0,40,46
2026-06-13T22:05:07.010607+00:00,3,0,40,46
2026-06-13T23:05:12.348859+00:00,3,0,40,46
2026-06-14T01:05:13.051644+00:00,3,0,39,46
2026-06-14T02:05:08.618805+00:00,3,0,39,46
2026-06-14T03:05:38.390536+00:00,3,0,39,46
2026-06-14T04:05:18.818270+00:00,3,1,39,46
2026-06-14T05:05:12.654108+00:00,3,1,39,46
2026-06-14T07:05:09.740577+00:00,3,1,39,46
2026-06-14T08:05:13.847273+00:00,4,0,39,46
2026-06-14T09:05:14.993451+00:00,4,0,39,46
2026-06-14T10:05:09.732107+00:00,4,0,39,46
2026-06-14T11:05:09.166716+00:00,4,0,39,46
2026-06-14T13:05:15.335284+00:00,4,1,39,46
2026-06-14T14:05:10.849249+00:00,4,1,39,46
2026-06-14T15:05:06.913163+00:00,4,1,39,46
2026-06-14T16:05:12.966254+00:00,4,2,39,46
2026-06-14T17:05:12.542408+00:00,4,2,39,46
2026-06-14T18:05:11.358264+00:00,4,2,39,46
2026-06-14T20:05:13.143207+00:00,4,1,39,46
2026-06-14T21:05:09.781168+00:00,4,1,39,46
2026-06-14T22:05:10.814543+00:00,4,1,39,46
2026-06-14T23:05:09.016129+00:00,4,1,39,46
2026-06-15T00:05:15.352564+00:00,4,2,38,46
2026-06-15T01:05:07.427014+00:00,4,2,38,46
2026-06-15T02:05:08.628612+00:00,4,2,38,46
2026-06-15T03:06:03.411829+00:00,4,2,38,46
2026-06-15T04:05:18.413713+00:00,4,0,39,47
2026-06-15T05:05:20.739040+00:00,4,0,39,47
2026-06-15T06:05:23.906032+00:00,4,0,39,47
2026-06-15T07:05:13.458979+00:00,4,0,39,47
2026-06-15T08:05:24.774566+00:00,4,0,39,47
2026-06-15T09:05:11.550261+00:00,4,0,39,47
2026-06-15T10:05:30.002132+00:00,4,0,39,47
2026-06-15T11:05:09.684621+00:00,4,0,39,47
2026-06-15T12:05:19.543912+00:00,4,0,39,47
2026-06-15T14:05:15.111872+00:00,4,0,39,47
2026-06-15T15:05:13.388985+00:00,4,0,39,47
2026-06-15T16:05:17.149319+00:00,4,0,39,47
2026-06-15T17:05:09.035513+00:00,4,0,39,47
2026-06-15T18:05:11.674391+00:00,4,0,39,47
2026-06-15T20:05:14.386647+00:00,4,1,39,47
2026-06-15T21:05:08.831618+00:00,4,1,39,47
2026-06-15T22:05:10.991113+00:00,4,1,39,47
2026-06-15T23:05:08.811798+00:00,4,1,39,47
2026-06-16T00:05:13.929189+00:00,4,1,39,47
2026-06-16T01:05:08.918801+00:00,4,1,39,47
2026-06-16T02:05:06.421013+00:00,4,1,39,47
2026-06-16T03:05:07.853554+00:00,4,1,39,47
2026-06-16T04:05:12.262976+00:00,5,0,39,47
2026-06-16T05:05:07.543251+00:00,5,0,39,47
2026-06-16T06:05:09.196053+00:00,5,0,39,47
2026-06-16T07:05:06.600450+00:00,5,0,39,47
2026-06-16T08:05:12.176903+00:00,5,0,39,47
2026-06-16T09:05:07.779298+00:00,5,0,39,47
2026-06-16T10:05:07.851966+00:00,5,0,39,47
2026-06-16T11:05:07.685833+00:00,5,0,39,47
2026-06-16T12:05:18.713141+00:00,5,0,39,47
2026-06-16T13:05:13.462138+00:00,5,0,39,47
2026-06-16T14:05:11.802681+00:00,5,0,39,47
2026-06-16T15:05:11.881738+00:00,5,0,39,47
2026-06-16T16:05:14.554620+00:00,5,1,39,47
2026-06-16T19:05:10.236083+00:00,5,1,39,47
2026-06-16T20:05:15.799077+00:00,6,0,39,47
2026-06-16T21:05:13.980493+00:00,6,0,39,47
2026-06-16T22:05:06.764752+00:00,6,0,39,47
2026-06-16T23:05:09.697437+00:00,6,0,39,47
2026-06-17T00:05:15.535286+00:00,6,1,39,47
2026-06-17T02:05:07.813894+00:00,6,1,39,47
2026-06-17T03:05:08.281600+00:00,6,1,39,47
2026-06-17T04:05:12.462098+00:00,6,0,38,47
2026-06-17T05:05:08.173833+00:00,6,0,38,47
2026-06-17T06:05:07.686641+00:00,6,0,38,47
2026-06-17T07:05:09.246335+00:00,6,0,38,47
2026-06-17T08:05:12.208315+00:00,6,0,38,47
2026-06-17T09:05:09.131257+00:00,6,0,38,47
2026-06-17T10:05:09.801529+00:00,6,0,38,47
2026-06-17T12:05:17.305078+00:00,6,1,38,47
2026-06-17T13:05:06.903172+00:00,6,1,38,47
2026-06-17T14:05:08.383882+00:00,6,1,38,47
2026-06-17T16:05:22.442091+00:00,7,0,37,47
2026-06-17T17:05:13.558472+00:00,7,0,37,47
2026-06-17T18:05:11.014033+00:00,7,0,37,47
2026-06-17T19:05:10.109647+00:00,7,0,37,47
2026-06-17T20:05:14.928302+00:00,7,1,37,47
2026-06-17T21:05:10.498360+00:00,7,0,37,47
2026-06-17T22:05:10.379280+00:00,7,0,37,47
2026-06-17T23:05:11.640929+00:00,7,0,37,47
2026-06-18T00:05:21.516149+00:00,6,0,38,48
2026-06-18T01:05:12.178356+00:00,6,0,38,48
2026-06-18T02:05:08.973036+00:00,6,0,38,48
2026-06-18T03:05:11.737680+00:00,6,0,38,48
2026-06-18T04:05:12.726691+00:00,6,1,37,48
2026-06-18T05:05:08.204744+00:00,6,1,37,48
2026-06-18T06:05:06.955917+00:00,6,1,37,48
2026-06-18T07:05:08.278418+00:00,6,1,37,48
2026-06-18T08:05:12.371305+00:00,6,1,37,48
2026-06-18T09:05:08.954597+00:00,6,1,37,48
2026-06-18T10:05:10.274489+00:00,6,1,37,48
2026-06-18T11:05:08.374701+00:00,6,1,37,48
2026-06-18T12:05:14.666151+00:00,6,1,37,48
2026-06-18T13:05:13.339485+00:00,6,1,37,48
2026-06-18T14:05:14.130063+00:00,6,1,37,48
2026-06-18T18:05:20.822870+00:00,6,1,37,48
2026-06-18T20:05:16.276643+00:00,3,1,40,51
2026-06-18T21:05:13.092251+00:00,3,1,40,51
2026-06-18T22:05:10.120970+00:00,3,1,40,51
2026-06-18T23:05:08.421712+00:00,3,1,40,51
2026-06-19T00:05:13.043126+00:00,3,0,40,51
2026-06-19T01:05:08.762099+00:00,3,0,40,51
2026-06-19T02:05:08.433219+00:00,3,0,40,51
2026-06-19T03:05:06.998119+00:00,3,0,40,51
2026-06-19T04:05:19.776902+00:00,3,1,38,51
2026-06-19T05:05:08.761378+00:00,3,1,38,51
2026-06-19T06:05:12.373692+00:00,3,1,38,51
2026-06-19T07:05:27.570759+00:00,3,1,38,51
2026-06-19T08:05:13.551099+00:00,4,1,37,51
2026-06-19T09:05:11.700171+00:00,4,1,37,51
2026-06-19T10:05:14.311068+00:00,4,1,37,51
2026-06-19T11:05:10.871037+00:00,4,1,37,51
2026-06-19T12:05:19.252584+00:00,4,0,36,51
2026-06-19T13:05:13.441484+00:00,4,0,36,51
2026-06-19T14:05:11.086312+00:00,4,0,36,51
2026-06-19T15:05:10.303969+00:00,4,0,36,51
2026-06-19T16:05:11.403508+00:00,4,0,36,51
2026-06-19T17:05:08.953916+00:00,4,0,36,51
2026-06-19T18:05:11.049115+00:00,4,0,36,51
2026-06-19T19:05:13.895734+00:00,4,0,36,51
2026-06-19T20:05:13.157474+00:00,4,1,36,51
2026-06-19T21:05:08.319846+00:00,4,1,36,51
2026-06-19T22:05:08.829152+00:00,4,1,36,51
2026-06-19T23:05:08.511193+00:00,4,1,36,51
2026-06-20T00:05:11.869343+00:00,4,0,36,51
2026-06-20T01:05:09.091359+00:00,4,0,36,51
2026-06-20T02:05:07.417016+00:00,4,0,36,51
2026-06-20T03:05:08.788309+00:00,4,0,36,51
2026-06-20T04:05:11.780345+00:00,4,0,36,51
2026-06-20T05:05:08.904470+00:00,4,0,36,51
2026-06-20T06:05:11.021952+00:00,4,0,36,51
2026-06-20T07:05:07.364201+00:00,4,0,36,51
2026-06-20T08:05:13.705091+00:00,4,0,36,51
2026-06-20T09:06:43.823474+00:00,4,0,36,51
2026-06-20T10:05:08.693389+00:00,4,0,36,51
2026-06-20T11:05:08.665114+00:00,4,0,36,51
2026-06-20T12:05:13.343338+00:00,4,0,36,51
2026-06-20T13:05:07.248631+00:00,4,0,36,51
2026-06-20T14:05:09.277639+00:00,4,0,36,51
2026-06-20T15:05:10.969511+00:00,4,0,36,51
2026-06-20T16:05:14.597162+00:00,4,1,36,51
2026-06-20T17:05:07.567655+00:00,4,1,36,51
2026-06-20T18:05:15.102880+00:00,4,1,36,51
2026-06-20T19:05:09.621556+00:00,4,1,36,51
2026-06-20T20:05:13.656741+00:00,5,0,36,51
2026-06-20T21:05:10.449991+00:00,5,0,36,51
2026-06-20T22:05:10.790969+00:00,5,0,36,51
2026-06-20T23:05:14.068618+00:00,5,0,36,51
2026-06-21T00:05:16.972750+00:00,5,1,36,51
2026-06-21T01:05:07.500795+00:00,5,1,36,51
2026-06-21T02:05:08.869901+00:00,5,1,36,51
2026-06-21T03:05:10.258186+00:00,5,1,36,51
2026-06-21T04:05:13.064828+00:00,5,0,37,52
2026-06-21T05:05:07.533215+00:00,5,0,37,52
2026-06-21T06:05:09.176026+00:00,5,0,37,52
2026-06-21T07:05:08.620637+00:00,5,0,37,52
2026-06-21T08:05:12.156031+00:00,5,0,37,52
2026-06-21T09:05:10.696670+00:00,5,0,37,52
2026-06-21T10:05:10.646130+00:00,5,0,37,52
2026-06-21T11:05:08.662869+00:00,5,0,37,52
2026-06-21T12:05:14.787399+00:00,5,1,37,52
2026-06-21T13:05:08.977689+00:00,5,1,37,52
2026-06-21T14:05:07.873806+00:00,5,1,37,52
2026-06-21T15:05:09.132208+00:00,5,1,37,52
2026-06-21T16:05:14.020646+00:00,5,0,36,52
2026-06-21T17:05:09.559858+00:00,5,0,36,52
2026-06-21T18:05:11.288802+00:00,5,0,36,52
2026-06-21T19:05:09.509260+00:00,5,0,36,52
2026-06-21T20:05:13.096385+00:00,5,0,36,52
2026-06-21T21:05:08.822474+00:00,5,0,36,52
2026-06-21T22:05:14.434474+00:00,5,0,36,52
2026-06-21T23:05:09.223043+00:00,5,0,36,52
2026-06-22T00:05:15.850626+00:00,5,1,36,52
2026-06-22T01:05:08.383906+00:00,5,1,36,52
2026-06-22T02:05:08.442824+00:00,5,1,36,52
2026-06-22T03:05:07.282617+00:00,5,1,36,52
2026-06-22T04:05:13.767236+00:00,4,1,37,53
2026-06-22T05:05:09.078415+00:00,4,1,37,53
2026-06-22T06:05:09.075163+00:00,4,1,37,53
2026-06-22T07:05:08.861517+00:00,4,1,37,53
2026-06-22T08:05:12.671497+00:00,4,0,37,53
2026-06-22T09:05:09.206610+00:00,4,0,37,53
2026-06-22T10:05:10.806274+00:00,4,0,37,53
2026-06-22T11:05:11.157510+00:00,4,0,37,53
2026-06-22T12:05:18.337020+00:00,4,0,37,53
2026-06-22T13:05:09.940179+00:00,4,0,37,53
2026-06-22T14:05:06.917901+00:00,4,0,37,53
2026-06-22T15:05:09.292833+00:00,4,0,37,53
2026-06-22T16:05:11.964933+00:00,3,1,38,54
2026-06-22T17:05:15.098055+00:00,3,1,38,54
2026-06-22T18:05:08.017872+00:00,3,1,38,54
2026-06-22T19:05:08.947135+00:00,3,1,38,54
2026-06-22T20:05:12.337683+00:00,3,0,38,54
2026-06-22T21:05:13.617693+00:00,3,0,38,54
2026-06-22T22:05:12.341167+00:00,3,0,38,54
2026-06-22T23:05:10.805099+00:00,3,0,38,54
2026-06-23T00:05:20.584014+00:00,3,1,38,54
2026-06-23T01:05:10.603498+00:00,3,1,38,54
2026-06-23T02:05:10.665114+00:00,3,1,38,54
2026-06-23T03:05:09.393330+00:00,3,1,38,54
2026-06-23T04:05:14.895420+00:00,4,1,38,54
2026-06-23T05:05:08.038546+00:00,4,1,38,54
2026-06-23T06:05:10.346404+00:00,4,1,38,54
2026-06-23T07:05:09.488645+00:00,4,1,38,54
2026-06-23T08:05:15.129015+00:00,5,0,38,54
2026-06-23T09:05:10.521861+00:00,5,0,38,54
2026-06-23T10:05:09.866972+00:00,5,0,38,54
2026-06-23T11:05:10.699965+00:00,5,0,38,54
2026-06-23T12:05:14.082122+00:00,4,0,39,55
2026-06-23T13:05:10.399445+00:00,4,0,39,55
2026-06-23T14:05:15.035866+00:00,4,0,39,55
2026-06-23T16:05:16.502303+00:00,4,0,39,55
2026-06-23T17:05:09.496858+00:00,4,0,39,55
2026-06-23T18:05:12.575627+00:00,4,0,39,55
2026-06-23T19:05:12.258174+00:00,4,0,39,55
2026-06-23T20:05:12.882287+00:00,4,1,39,55
2026-06-23T21:05:06.760172+00:00,4,1,39,55
2026-06-23T22:05:09.642866+00:00,4,1,39,55
2026-06-23T23:05:09.591640+00:00,4,1,39,55
2026-06-24T00:05:17.839054+00:00,5,1,39,55
2026-06-24T01:05:08.199315+00:00,5,1,39,55
2026-06-24T02:05:10.947071+00:00,5,1,39,55
2026-06-24T03:05:10.941687+00:00,5,1,39,55
2026-06-24T04:05:18.110709+00:00,6,1,39,55
2026-06-24T05:05:07.280100+00:00,6,1,39,55
2026-06-24T06:05:08.760871+00:00,6,1,39,55
2026-06-24T07:05:08.533884+00:00,6,1,39,55
2026-06-24T08:05:13.573134+00:00,7,1,39,55
2026-06-24T09:05:09.550700+00:00,7,1,39,55
2026-06-24T10:05:09.681400+00:00,7,1,39,55
2026-06-24T11:05:08.226477+00:00,7,1,39,55
2026-06-24T12:05:13.202494+00:00,7,0,39,55
2026-06-24T13:05:07.505143+00:00,7,0,39,55
2026-06-24T14:05:09.705613+00:00,7,0,39,55
2026-06-24T15:05:09.396488+00:00,7,0,39,55
2026-06-24T16:05:13.462200+00:00,7,0,39,55
2026-06-24T17:05:11.905087+00:00,7,0,39,55
2026-06-24T18:05:13.635791+00:00,7,0,39,55
2026-06-24T19:05:12.670624+00:00,7,0,39,55
2026-06-24T20:05:14.368862+00:00,4,1,42,58
2026-06-24T21:05:12.713606+00:00,4,1,42,58
2026-06-24T22:05:12.327983+00:00,4,1,42,58
2026-06-24T23:05:13.178140+00:00,4,1,42,58
2026-06-25T00:05:14.193119+00:00,4,1,43,59
2026-06-25T01:05:12.105670+00:00,4,1,43,59
2026-06-25T02:05:12.763266+00:00,4,1,43,59
2026-06-25T03:05:11.354331+00:00,4,1,43,59
2026-06-25T04:05:13.324393+00:00,4,0,43,59
2026-06-25T05:05:09.848075+00:00,4,0,43,59
2026-06-25T06:05:11.594340+00:00,4,0,43,59
2026-06-25T07:05:06.706100+00:00,4,0,43,59
