slug,outcome_truth,slot_start_s,tf,ACC-M-sz20.n_maker_bid_up,ACC-M-sz20.n_maker_bid_dn,ACC-M-sz20.n_maker_ask_up,ACC-M-sz20.n_maker_ask_dn,ACC-M-sz20.n_taker_up,ACC-M-sz20.n_taker_dn,ACC-M-sz20.inv_up,ACC-M-sz20.inv_dn,ACC-M-sz20.cost_paid,ACC-M-sz20.cash_received,ACC-M-sz20.rebates,ACC-M-sz20.taker_fees,ACC-M-sz20.leftover_redeemed,ACC-M-sz20.leftover_burned_cost,ACC-M-sz20.n_merges,ACC-M-sz20.pairs_merged,ACC-M-sz20.pnl,ACC-M-sz50.n_maker_bid_up,ACC-M-sz50.n_maker_bid_dn,ACC-M-sz50.n_maker_ask_up,ACC-M-sz50.n_maker_ask_dn,ACC-M-sz50.n_taker_up,ACC-M-sz50.n_taker_dn,ACC-M-sz50.inv_up,ACC-M-sz50.inv_dn,ACC-M-sz50.cost_paid,ACC-M-sz50.cash_received,ACC-M-sz50.rebates,ACC-M-sz50.taker_fees,ACC-M-sz50.leftover_redeemed,ACC-M-sz50.leftover_burned_cost,ACC-M-sz50.n_merges,ACC-M-sz50.pairs_merged,ACC-M-sz50.pnl,ACC-M-sz100.n_maker_bid_up,ACC-M-sz100.n_maker_bid_dn,ACC-M-sz100.n_maker_ask_up,ACC-M-sz100.n_maker_ask_dn,ACC-M-sz100.n_taker_up,ACC-M-sz100.n_taker_dn,ACC-M-sz100.inv_up,ACC-M-sz100.inv_dn,ACC-M-sz100.cost_paid,ACC-M-sz100.cash_received,ACC-M-sz100.rebates,ACC-M-sz100.taker_fees,ACC-M-sz100.leftover_redeemed,ACC-M-sz100.leftover_burned_cost,ACC-M-sz100.n_merges,ACC-M-sz100.pairs_merged,ACC-M-sz100.pnl,ACC-M-sz200.n_maker_bid_up,ACC-M-sz200.n_maker_bid_dn,ACC-M-sz200.n_maker_ask_up,ACC-M-sz200.n_maker_ask_dn,ACC-M-sz200.n_taker_up,ACC-M-sz200.n_taker_dn,ACC-M-sz200.inv_up,ACC-M-sz200.inv_dn,ACC-M-sz200.cost_paid,ACC-M-sz200.cash_received,ACC-M-sz200.rebates,ACC-M-sz200.taker_fees,ACC-M-sz200.leftover_redeemed,ACC-M-sz200.leftover_burned_cost,ACC-M-sz200.n_merges,ACC-M-sz200.pairs_merged,ACC-M-sz200.pnl,ACC-M-sz50-tight.n_maker_bid_up,ACC-M-sz50-tight.n_maker_bid_dn,ACC-M-sz50-tight.n_maker_ask_up,ACC-M-sz50-tight.n_maker_ask_dn,ACC-M-sz50-tight.n_taker_up,ACC-M-sz50-tight.n_taker_dn,ACC-M-sz50-tight.inv_up,ACC-M-sz50-tight.inv_dn,ACC-M-sz50-tight.cost_paid,ACC-M-sz50-tight.cash_received,ACC-M-sz50-tight.rebates,ACC-M-sz50-tight.taker_fees,ACC-M-sz50-tight.leftover_redeemed,ACC-M-sz50-tight.leftover_burned_cost,ACC-M-sz50-tight.n_merges,ACC-M-sz50-tight.pairs_merged,ACC-M-sz50-tight.pnl,ACC-M-sz50-loose.n_maker_bid_up,ACC-M-sz50-loose.n_maker_bid_dn,ACC-M-sz50-loose.n_maker_ask_up,ACC-M-sz50-loose.n_maker_ask_dn,ACC-M-sz50-loose.n_taker_up,ACC-M-sz50-loose.n_taker_dn,ACC-M-sz50-loose.inv_up,ACC-M-sz50-loose.inv_dn,ACC-M-sz50-loose.cost_paid,ACC-M-sz50-loose.cash_received,ACC-M-sz50-loose.rebates,ACC-M-sz50-loose.taker_fees,ACC-M-sz50-loose.leftover_redeemed,ACC-M-sz50-loose.leftover_burned_cost,ACC-M-sz50-loose.n_merges,ACC-M-sz50-loose.pairs_merged,ACC-M-sz50-loose.pnl,ACC-M-sz50-mergehot.n_maker_bid_up,ACC-M-sz50-mergehot.n_maker_bid_dn,ACC-M-sz50-mergehot.n_maker_ask_up,ACC-M-sz50-mergehot.n_maker_ask_dn,ACC-M-sz50-mergehot.n_taker_up,ACC-M-sz50-mergehot.n_taker_dn,ACC-M-sz50-mergehot.inv_up,ACC-M-sz50-mergehot.inv_dn,ACC-M-sz50-mergehot.cost_paid,ACC-M-sz50-mergehot.cash_received,ACC-M-sz50-mergehot.rebates,ACC-M-sz50-mergehot.taker_fees,ACC-M-sz50-mergehot.leftover_redeemed,ACC-M-sz50-mergehot.leftover_burned_cost,ACC-M-sz50-mergehot.n_merges,ACC-M-sz50-mergehot.pairs_merged,ACC-M-sz50-mergehot.pnl,MAS-pre50.n_maker_bid_up,MAS-pre50.n_maker_bid_dn,MAS-pre50.n_maker_ask_up,MAS-pre50.n_maker_ask_dn,MAS-pre50.n_taker_up,MAS-pre50.n_taker_dn,MAS-pre50.inv_up,MAS-pre50.inv_dn,MAS-pre50.cost_paid,MAS-pre50.cash_received,MAS-pre50.rebates,MAS-pre50.taker_fees,MAS-pre50.leftover_redeemed,MAS-pre50.leftover_burned_cost,MAS-pre50.n_merges,MAS-pre50.pairs_merged,MAS-pre50.pnl,MAS-pre200-tight.n_maker_bid_up,MAS-pre200-tight.n_maker_bid_dn,MAS-pre200-tight.n_maker_ask_up,MAS-pre200-tight.n_maker_ask_dn,MAS-pre200-tight.n_taker_up,MAS-pre200-tight.n_taker_dn,MAS-pre200-tight.inv_up,MAS-pre200-tight.inv_dn,MAS-pre200-tight.cost_paid,MAS-pre200-tight.cash_received,MAS-pre200-tight.rebates,MAS-pre200-tight.taker_fees,MAS-pre200-tight.leftover_redeemed,MAS-pre200-tight.leftover_burned_cost,MAS-pre200-tight.n_merges,MAS-pre200-tight.pairs_merged,MAS-pre200-tight.pnl,MAS-pre500.n_maker_bid_up,MAS-pre500.n_maker_bid_dn,MAS-pre500.n_maker_ask_up,MAS-pre500.n_maker_ask_dn,MAS-pre500.n_taker_up,MAS-pre500.n_taker_dn,MAS-pre500.inv_up,MAS-pre500.inv_dn,MAS-pre500.cost_paid,MAS-pre500.cash_received,MAS-pre500.rebates,MAS-pre500.taker_fees,MAS-pre500.leftover_redeemed,MAS-pre500.leftover_burned_cost,MAS-pre500.n_merges,MAS-pre500.pairs_merged,MAS-pre500.pnl
btc-updown-15m-1778769000,Up,1778769000,15m,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,5,1,0,0,0,0,47.85999893188476,0.0,22.63739968142511,48.05999893188476,0.1675479920144615,0.0,47.85999893188476,0.0,1,0.20000000000000018,25.590147242474117,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,0,0,14,14,0,0,1.5799999237060547,4.9977034414062445,50.0,48.222793239989805,0.3256988739495874,0.0,1.5799999237060547,2.4988517207031222,0,0.0,-1.451507886060611,0,0,23,16,0,0,116.57999992370605,146.333335,200.0,184.77493206415562,0.4760573758954755,0.0,116.57999992370605,200.0,0,0.0,-14.749010559948914,0,0,42,40,0,0,356.57999992370605,376.3310384414061,500.0,490.3761249573179,0.9269494014972044,0.0,356.57999992370605,500.0,0,0.0,-8.696925641184862
btc-updown-15m-1778769900,Up,1778769900,15m,3,3,0,0,0,0,12.0,0.0,30.880000591278076,32.0,0.12959519427757243,0.0,12.0,0.0,3,20.0,1.249594602999494,3,3,0,0,0,0,1.7000001716613795,0.0,59.907001407194144,51.70000017166138,0.25008520906392817,0.0,1.7000001716613795,0.0,3,50.0,-7.956916026468839,3,3,0,0,0,0,0.0,48.29999982833862,78.40700164561272,51.70000017166138,0.4132552099317718,0.0,0.0,37.00000047683716,3,51.70000017166138,-26.293746264019575,3,5,0,0,0,0,0.0,112.80999984025956,102.27570195763113,51.70000017166138,0.6237771450903665,0.0,0.0,60.868700788855556,3,51.70000017166138,-49.95192464087938,3,3,0,0,0,0,1.7000001716613795,0.0,59.907001407194144,51.70000017166138,0.25008520906392817,0.0,1.7000001716613795,0.0,4,50.0,-7.956916026468839,6,6,0,0,0,0,0.0,8.029999752044674,77.52710160375834,78.31000009536743,0.4131807994741812,0.0,0.0,4.014999876022337,2,78.31000009536743,1.1960792910832652,3,3,0,0,0,0,1.7000001716613795,0.0,59.907001407194144,51.70000017166138,0.25008520906392817,0.0,1.7000001716613795,0.0,2,50.0,-7.956916026468839,0,0,13,13,0,0,0.0,4.9999999999999964,50.0,47.499999552965164,0.3285240000317095,0.0,0.0,2.4999999999999982,0,0.0,-2.17147644700313,0,0,27,13,0,0,90.0,149.94744868664552,200.0,183.9746999695604,0.4512562620478128,0.0,90.0,200.0,0,0.0,-15.574043768391789,0,0,59,30,0,0,274.99999999999994,385.0,500.0,474.4999990239739,0.9662379987533078,0.0,274.99999999999994,500.0,0,0.0,-24.53376297727283
btc-updown-15m-1778770800,Up,1778770800,15m,3,6,0,0,0,0,11.660000114440919,0.0,37.635499193120005,40.0,0.211676826622215,0.0,11.660000114440919,0.0,3,28.33999988555908,2.576177633502212,3,6,0,0,0,0,21.66000011444092,0.0,45.935499026227,50.0,0.2344548284046323,0.0,21.66000011444092,0.0,3,28.33999988555908,4.29895580217763,4,6,0,0,0,0,31.450000305175784,0.0,52.88639895157814,59.790000190734865,0.26267548418965975,0.0,31.450000305175784,0.0,3,28.33999988555908,7.166276723346385,4,6,0,0,0,0,31.450000305175784,0.0,52.88639895157814,59.790000190734865,0.26267548418965975,0.0,31.450000305175784,0.0,3,28.33999988555908,7.166276723346385,3,6,0,0,0,0,21.66000011444092,0.0,45.935499026227,50.0,0.2344548284046323,0.0,21.66000011444092,0.0,3,28.33999988555908,4.29895580217763,3,5,0,0,0,0,18.330000152587893,0.0,46.71369905600548,50.0,0.24291581259398243,0.0,18.330000152587893,0.0,2,31.669999847412107,3.5292167565885038,3,6,0,0,0,0,21.66000011444092,0.0,45.935499026227,50.0,0.2344548284046323,0.0,21.66000011444092,0.0,2,28.33999988555908,4.29895580217763,0,0,11,13,0,0,0.0,0.11999999999999922,50.0,50.149599214792254,0.34585275174817826,0.0,0.0,0.05999999999999961,0,0.0,0.4954519665404291,0,0,29,28,0,0,95.46517394277953,85.0,200.0,202.054676855579,0.7088603330315335,0.0,95.46517394277953,42.5,0,0.0,2.7635371886105418,0,0,72,55,0,0,225.00000000000006,285.12,500.0,480.74959745049483,1.6040187554548715,0.0,225.00000000000006,500.0,0,0.0,-17.64638379405028
btc-updown-15m-1778771700,Up,1778771700,15m,4,7,0,0,0,0,0.0,10.89000026702881,31.135799697208405,25.099999732971188,0.19359401475098584,0.0,0.0,5.445000133514405,3,25.099999732971188,-5.842205949486232,4,9,0,0,0,0,0.0,37.169999504089354,46.64099855785371,25.099999732971188,0.2825938619040503,0.0,0.0,38.26849866259099,3,25.099999732971188,-21.258404962978474,4,9,0,0,0,0,0.0,37.169999504089354,46.64099855785371,25.099999732971188,0.2825938619040503,0.0,0.0,38.26849866259099,3,25.099999732971188,-21.258404962978474,4,9,0,0,0,0,0.0,37.169999504089354,46.64099855785371,25.099999732971188,0.2825938619040503,0.0,0.0,38.26849866259099,3,25.099999732971188,-21.258404962978474,4,8,0,0,0,0,0.0,32.16999950408935,43.04099841480257,25.09999973297119,0.2684818627852454,0.0,0.0,34.66849851953985,6,25.09999973297119,-17.672516819046137,2,9,0,0,0,0,0.0,49.719999637603756,42.914498448514955,12.549999599456786,0.2457922711722445,0.0,0.0,38.26849866259099,1,12.549999599456786,-30.118706577885924,4,9,0,0,0,0,0.0,37.169999504089354,46.64099855785371,25.099999732971188,0.2825938619040503,0.0,0.0,38.26849866259099,2,25.099999732971188,-21.258404962978474,0,0,13,11,0,0,0.0,4.298895847412112,50.0,45.14169470679664,0.32084398315518925,0.0,0.0,2.149447923706056,0,0.0,-4.537461310048172,0,0,14,13,0,0,155.0,145.0,200.0,206.40000075101852,0.32240599901699996,0.0,155.0,200.0,0,0.0,6.722406750035532,0,0,24,18,0,0,413.20000055313113,429.2988958474121,500.0,488.58169524490745,0.5172219805985883,0.0,413.20000055313113,500.00000000000006,0,0.0,-10.901082774493943
btc-updown-15m-1778772600,Up,1778772600,15m,5,1,0,0,0,0,8.140000343322754,0.0,20.330200487184527,27.140000343322754,0.15167059594703472,0.0,8.140000343322754,0.0,2,19.0,6.961470452085262,6,1,0,0,0,0,18.670000495910642,0.0,23.699800460696224,37.67000049591064,0.18374918803228368,0.0,18.670000495910642,0.0,2,19.0,14.153949223246698,6,1,0,0,0,0,18.670000495910642,0.0,23.699800460696224,37.67000049591064,0.18374918803228368,0.0,18.670000495910642,0.0,2,19.0,14.153949223246698,6,1,0,0,0,0,18.670000495910642,0.0,23.699800460696224,37.67000049591064,0.18374918803228368,0.0,18.670000495910642,0.0,2,19.0,14.153949223246698,5,1,0,0,0,0,13.670000495910644,0.0,20.94980040109158,32.67000049591064,0.16642418811573018,0.0,13.670000495910644,0.0,3,19.0,11.88662428293479,8,1,0,0,0,0,48.67000049591064,0.0,39.89980110442639,67.67000049591064,0.2880771873113057,0.0,48.67000049591064,0.0,1,19.0,28.058276578795557,6,1,0,0,0,0,18.670000495910642,0.0,23.699800460696224,37.67000049591064,0.18374918803228368,0.0,18.670000495910642,0.0,2,19.0,14.153949223246698,0,0,15,12,0,0,1.9533735585937748,0.0,50.0,53.16808541980929,0.3325548055088321,0.0,1.9533735585937748,0.0,0,0.0,3.500640225318122,0,0,13,30,0,0,155.0,105.0,200.0,233.84999975562096,0.46246899989819495,0.0,155.0,200.0,0,0.0,34.31246875551915,0,0,35,47,0,0,371.95337355859374,339.0,500.0,520.4480842438096,0.9697172054285561,0.0,371.95337355859374,500.0,0,0.0,21.41780144923814
btc-updown-15m-1778773500,Up,1778773500,15m,2,8,0,0,0,0,0.0,10.839999580383303,23.220000100135806,20.0,0.17611999899864195,0.0,0.0,14.619999957084657,3,20.0,-3.0438801011371623,7,8,0,0,0,0,14.360000419616703,0.0,38.32800035476684,50.00000000000001,0.2957544794640732,0.0,14.360000419616703,0.0,6,35.639999580383304,11.967754124697237,7,8,0,0,0,0,16.140000419616705,0.0,39.0934003674984,51.78000000000001,0.301862371489027,0.0,16.140000419616705,0.0,6,35.639999580383304,12.98846200399064,7,8,0,0,0,0,16.140000419616705,0.0,39.0934003674984,51.78000000000001,0.301862371489027,0.0,16.140000419616705,0.0,6,35.639999580383304,12.98846200399064,7,8,0,0,0,0,14.3600004196167,0.0,38.32800035476684,50.0,0.2957544794640732,0.0,14.3600004196167,0.0,7,35.639999580383304,11.96775412469723,8,8,0,0,0,0,24.360000419616703,0.0,44.02800028324127,60.00000000000001,0.3300684796042633,0.0,24.360000419616703,0.0,3,35.639999580383304,16.302068196363003,7,8,0,0,0,0,14.360000419616702,0.0,38.32800035476684,50.00000000000001,0.2957544794640732,0.0,14.360000419616702,0.0,3,35.639999580383304,11.967754124697237,0,0,15,10,0,0,2.4414062522737368e-06,0.0,50.0,50.200000360679695,0.34861399221015515,0.0,2.4414062522737368e-06,0.0,0,0.0,0.5486143528898495,0,0,9,13,0,0,165.0,155.0,200.0,204.49999943375587,0.2764580000383852,0.0,165.0,200.0,0,0.0,4.776457433794263,0,0,39,18,0,0,370.00000244140625,415.0,500.0,481.09999965138445,0.7415659926891376,0.0,370.00000244140625,500.00000000000006,0,0.0,-18.15843435592643
btc-updown-15m-1778774400,Up,1778774400,15m,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,0,0,14,12,0,0,3.1499998474121185,0.0,50.0,53.6286996925831,0.328769938726051,0.0,3.1499998474121185,0.0,0,0.0,3.957469631309152,0,0,30,34,0,0,87.75000010013581,57.068463181198126,200.0,217.22199998387208,0.8459427102829487,0.0,87.75000010013581,28.534231590599063,0,0.0,18.067942694155022,0,0,74,59,0,0,221.19807218460846,255.94102970436094,500.0,494.79299258957747,1.7206359183914972,0.0,221.19807218460846,500.0,0,0.0,-3.486371492031026
btc-updown-15m-1778775300,Up,1778775300,15m,2,1,0,0,0,0,9.139999923706053,0.0,17.070799891853333,20.0,0.09471806689961232,0.0,9.139999923706053,0.0,1,10.860000076293947,3.02391817504628,4,1,0,0,0,0,39.13999992370606,0.0,29.970800106430055,50.0,0.19766006732018268,0.0,39.13999992370606,0.0,1,10.860000076293947,20.22685996089013,7,1,0,0,0,0,56.999999923706056,0.0,37.650600234174725,67.86,0.2589448715705623,0.0,56.999999923706056,0.0,1,10.860000076293947,30.468344637395838,7,1,0,0,0,0,56.999999923706056,0.0,37.650600234174725,67.86,0.2589448715705623,0.0,56.999999923706056,0.0,1,10.860000076293947,30.468344637395838,4,1,0,0,0,0,39.13999992370606,0.0,29.970800106430055,50.0,0.19766006732018268,0.0,39.13999992370606,0.0,1,10.860000076293947,20.22685996089013,4,1,0,0,0,0,39.13999992370606,0.0,29.970800106430055,50.0,0.19766006732018268,0.0,39.13999992370606,0.0,1,10.860000076293947,20.22685996089013,4,1,0,0,0,0,39.13999992370606,0.0,29.970800106430055,50.0,0.19766006732018268,0.0,39.13999992370606,0.0,1,10.860000076293947,20.22685996089013,0,0,13,11,0,0,4.649363847412115,0.0,50.0,52.41416184927333,0.32684880969644825,0.0,4.649363847412115,0.0,0,0.0,2.7410106589697776,0,0,23,28,0,0,103.47123610083008,95.0,200.0,207.66275505984012,0.5957007583534459,0.0,103.47123610083008,47.5,0,0.0,8.258455818193568,0,0,62,56,0,0,273.4712361008301,284.99999999999994,500.0,485.26275153720565,1.3138027661757208,0.0,273.4712361008301,500.0,0,0.0,-13.423445696618614
btc-updown-15m-1778776200,Down,1778776200,15m,9,6,0,0,0,0,0.0,14.280000152587892,58.76800026035309,60.0,0.3104023983297345,0.0,14.280000152587892,0.0,6,45.71999984741211,1.5424021379766444,10,4,0,0,0,0,7.99999610990286,0.0,82.7923015830487,84.17000366210937,0.48774207496448085,0.0,0.0,3.99999805495143,8,84.17000366210937,1.8654441540251554,12,4,0,0,0,0,27.029991227090356,0.0,110.56460353247809,115.14000854492187,0.700355094512673,0.0,0.0,35.11459972736537,9,115.14000854492187,5.275760106956454,12,4,0,0,0,0,37.249991494119165,0.0,112.50640355884718,115.14000854492187,0.7223751068765131,0.0,0.0,37.05639975373447,9,115.14000854492187,3.3559800929511994,10,4,0,0,0,0,7.99999610990286,0.0,82.7923015830487,84.17000366210937,0.48774207496448085,0.0,0.0,3.99999805495143,9,84.17000366210937,1.8654441540251554,10,6,0,0,0,0,0.0,19.22000389009714,102.39070236181915,111.39000366210936,0.5645677981672546,0.0,19.22000389009714,0.0,7,92.16999977201223,9.563869098457474,10,4,0,0,0,0,7.99999610990286,0.0,82.7923015830487,84.17000366210937,0.48774207496448085,0.0,0.0,3.99999805495143,6,84.17000366210937,1.8654441540251554,0,0,11,12,0,0,0.0,0.0,50.0,50.49999922513962,0.3470600001418588,0.0,0.0,0.0,0,0.0,0.8470592252814768,0,0,16,23,0,0,132.78401064575198,105.00000000000003,200.0,189.65933290915973,0.5290516257703615,0.0,105.00000000000003,200.0,0,0.0,-9.811615465069906,0,0,57,41,0,0,293.125,327.07513649591067,500.0,510.1236308077704,1.235149345476569,0.0,327.07513649591067,500.0,0,0.0,11.358780153246926
btc-updown-15m-1778777100,Up,1778777100,15m,3,2,0,0,0,0,4.0,0.0,19.23000007867813,25.0,0.1516074014259338,0.0,4.0,0.0,2,21.0,5.921607322747803,6,2,0,0,0,0,12.64000038146973,0.0,46.808400312900545,63.64000038146973,0.3739567486071547,0.0,12.64000038146973,0.0,4,51.0,17.205556817176344,4,2,0,0,0,0,8.000000190734863,0.0,47.00320018905401,60.730000000000004,0.372376623298857,0.0,8.000000190734863,0.0,5,52.72999980926514,14.099176434244846,4,2,0,0,0,0,8.000000190734863,0.0,47.00320018905401,60.730000000000004,0.372376623298857,0.0,8.000000190734863,0.0,5,52.72999980926514,14.099176434244846,6,2,0,0,0,0,12.640000381469727,0.0,46.808400312900545,63.640000381469726,0.3739567486071547,0.0,12.640000381469727,0.0,5,51.0,17.20555681717633,7,2,0,0,0,0,17.64000038146973,0.0,48.6584003367424,68.64000038146973,0.39027374869393905,0.0,17.64000038146973,0.0,3,51.0,20.371873793421273,6,2,0,0,0,0,12.64000038146973,0.0,46.808400312900545,63.64000038146973,0.3739567486071547,0.0,12.64000038146973,0.0,3,51.0,17.205556817176344,0,0,13,13,0,0,3.698727084472658,0.0,50.0,45.64731254110647,0.3215203069869176,0.0,3.698727084472658,0.0,0,0.0,-4.031167151906608,0,0,15,16,0,0,146.628575,138.56677194277955,200.0,206.15841093230495,0.3727869302296203,0.0,146.628575,200.0,0,0.0,6.531197862534555,0,0,32,45,0,0,394.8837276948242,333.1184525694885,500.0,529.7406861809835,0.8591136206725674,0.0,394.8837276948242,500.00000000000006,0,0.0,30.599799801656104
